pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
FF,2019/9/24,92.7,-3.3274,5.2774,Max Scherzer,656514,453286,field_out,hit_into_play,,,,,6,Adam Haseley flies out to center fielder Victor Robles.  ,R,L,R,WSH,PHI,X,8,fly_ball,0,0,2019,-0.9353,1.2088,0.6207,2.781,null,null,664068,2,6,Top,118.89,90.43,,,543228,,190925_005920,12.1591,-134.5582,-3.2479,-13.9376,27.2343,-16.8768,3.3445,1.7344,261,76.7,38.5,93.082,2299,6.502,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,53.9976,0.04,0.029,0,1,0,0,3,46,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Infield shift,Standard
CH,2019/9/24,84.4,-3.2967,5.2518,Max Scherzer,664068,453286,single,hit_into_play_no_out,,,,,9,Scott Kingery singles on a soft ground ball to third baseman Anthony Rendon.  ,R,R,R,WSH,PHI,X,5,ground_ball,1,2,2019,-1.3427,0.086,0.6461,1.4622,null,null,null,2,6,Top,116.21,174.41,,,543228,,190925_005823,11.7878,-122.3835,-2.6062,-15.6969,22.6076,-31.031,3.3445,1.5624,3,51.5,-24,84.304,1494,6.278,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.2219,0.084,0.088,0.9,1,1,0,1,45,5,Changeup,2,4,4,2,4,2,4,2,Standard,Standard
FF,2019/9/24,97.4,-3.1352,5.3625,Max Scherzer,664068,453286,null,foul,,,,,8,null,R,R,R,WSH,PHI,S,null,null,1,2,2019,-0.8393,1.3483,-0.1222,2.1764,null,null,null,2,6,Top,null,null,,,543228,,190925_005750,9.9583,-141.4515,-6.0863,-13.4013,30.8209,-13.0193,3.4595,1.6198,203,76.3,27.1,97.175,2465,6.171,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.3289,null,null,null,null,null,null,null,45,4,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard
SL,2019/9/24,84.8,-3.4005,5.0587,Max Scherzer,664068,453286,null,ball,,,,,14,null,R,R,R,WSH,PHI,B,null,null,0,2,2019,0.464,-0.0156,1.3889,0.8002,null,null,null,2,6,Top,null,null,,,543228,,190925_005726,10.2274,-123.1506,-3.5596,2.7017,23.9895,-31.859,3.3732,1.5051,null,null,null,84.482,2295,6.15,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.35,null,null,null,null,null,null,null,45,3,Slider,2,4,4,2,4,2,4,2,Standard,Standard
CU,2019/9/24,79.1,-3.2917,5.3838,Max Scherzer,664068,453286,null,foul,,,,,4,null,R,R,R,WSH,PHI,S,null,null,0,1,2019,0.8,0.0326,-0.5306,2.7426,null,null,null,2,6,Top,null,null,,,543228,,190925_005705,4.5179,-115.1224,0.9341,6.1688,20.708,-32.2956,3.4308,1.5338,164,69.2,62.8,78.443,2818,5.747,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.7522,null,null,null,null,null,null,null,45,2,Curveball,2,4,4,2,4,2,4,2,Standard,Standard
FF,2019/9/24,95.4,-3.3984,5.2131,Max Scherzer,664068,453286,null,called_strike,,,,,9,null,R,R,R,WSH,PHI,S,null,null,0,0,2019,-1.1112,1.2175,0.5886,2.0131,null,null,null,2,6,Top,null,null,,,543228,,190925_005640,12.7917,-138.1447,-5.3792,-16.812,29.7846,-15.8443,3.4308,1.5624,null,null,null,94.451,2589,5.934,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.5654,null,null,null,null,null,null,null,45,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard
FC,2019/9/24,90.1,-3.2758,5.1631,Max Scherzer,543543,453286,strikeout,swinging_strike,,,,,14,Brad Miller strikes out swinging.  ,R,L,R,WSH,PHI,S,2,null,0,2,2019,-0.0233,0.6044,1.2404,1.1438,null,null,null,1,6,Top,null,null,,,543228,,190925_005605,11.1421,-130.7527,-5.2318,-2.4523,25.6822,-24.5225,3.5459,1.6198,null,null,null,89.403,2588,5.857,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.6426,null,null,0,1,0,0,null,44,3,Cutter,2,4,4,2,4,2,4,2,Infield shift,Standard
CU,2019/9/24,80.6,-3.221,5.3742,Max Scherzer,543543,453286,null,swinging_strike,,,,,14,null,R,L,R,WSH,PHI,S,null,null,0,1,2019,0.9055,-0.632,0.5211,1.3221,null,null,null,1,6,Top,null,null,,,543228,,190925_005538,6.5719,-117.2483,-1.1806,7.0531,21.1571,-37.9399,3.4308,1.5624,null,null,null,80.11,2794,5.867,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.6324,null,null,null,null,null,null,null,44,2,Curveball,2,4,4,2,4,2,4,2,Infield shift,Standard
FF,2019/9/24,95.9,-3.1291,5.4184,Max Scherzer,543543,453286,null,swinging_strike,,,,,3,null,R,L,R,WSH,PHI,S,null,null,0,0,2019,-0.8887,1.2755,0.3277,3.2204,null,null,null,1,6,Top,null,null,,,543228,,190925_005520,11.0235,-139.206,-2.9989,-13.8794,31.2958,-15.3707,3.661,1.7058,null,null,null,95.115,2547,5.974,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.5255,null,null,null,null,null,null,null,44,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Infield shift,Standard
SL,2019/9/24,84.7,-3.4283,5.0229,Max Scherzer,516416,453286,field_out,hit_into_play,,,,,9,"Jean Segura grounds out, shortstop Trea Turner to first baseman Matt Adams.  ",R,R,R,WSH,PHI,X,6,ground_ball,2,2,2019,0.3279,0.0529,0.6427,1.7057,null,null,null,0,6,Top,106.11,155.05,,,543228,,190925_005444,8.818,-123.1103,-1.5176,1.655,23.244,-31.5671,3.1144,1.5051,4,89.5,-25.5,84.518,null,6.124,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.3754,0.103,0.09,0,1,0,0,2,43,6,Slider,2,4,4,2,4,2,4,2,Standard,Standard
